WBAN,USAF,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW.1,MW.2,MW.3,AW,AW.1,AW.2,AW.3,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
99999,29980,201705010000,206.00,14.00,20.00,722.00,SCT,,,,27.40,,,,,0.00,,,,0.00,37.00,32.00,1025.10,,1021.90,,,,,,,0.00
99999,29980,201705010100,198.00,14.00,23.00,722.00,SCT,,,,29.20,,,,,0.00,,,,,37.00,32.00,1025.40,,1022.20,,,,,,,0.00
99999,29980,201705010200,216.00,13.00,21.00,722.00,SCT,,,,31.20,,,,,0.00,,,,,37.00,31.00,1025.20,,1022.00,,,,,,,0.00
99999,29980,201705010300,200.00,16.00,,,,,,,21.90,,,,,0.00,,,,,37.00,32.00,1025.40,,1022.20,,,,,,,
99999,29980,201705010400,220.00,14.00,21.00,722.00,CLR,,,,23.50,,,,,0.00,,,,,39.00,32.00,1025.70,,1022.50,,,,,,,0.00
99999,29980,201705010500,212.00,13.00,19.00,722.00,CLR,,,,20.30,,,,,0.00,,,,,41.00,33.00,1026.00,,1022.80,,,,,,,0.00
99999,29980,201705010600,208.00,9.00,15.00,722.00,CLR,,,,21.80,,,,,0.00,,,,0.00,44.00,35.00,1026.40,,1023.20,44.00,35.00,0.00,,,,0.00
99999,29980,201705010700,215.00,11.00,16.00,722.00,CLR,,,,24.80,,,,,0.00,,,,,45.00,36.00,1026.80,,1023.60,,,,,,,0.00
99999,29980,201705010800,220.00,8.00,11.00,722.00,CLR,,,,19.40,,,,,0.00,,,,,48.00,37.00,1027.00,,1023.80,,,,,,,0.00
99999,29980,201705010900,210.00,9.00,,,,,,,18.10,,,,,0.00,,,,,51.00,37.00,1026.90,,1023.70,,,,,,,
99999,29980,201705011000,192.00,10.00,14.00,722.00,CLR,,,,23.50,,,,,0.00,,,,,52.00,37.00,1026.80,,1023.70,,,,,,,0.00
99999,29980,201705011100,199.00,11.00,15.00,722.00,SCT,,,,20.00,,,,,0.00,,,,,51.00,37.00,1026.70,,1023.60,,,,,,,0.00
99999,29980,201705011200,198.00,13.00,19.00,722.00,SCT,,,,20.00,,,,,0.00,,,,0.00,54.00,37.00,1026.40,,1023.30,,,,,,,0.00
99999,29980,201705011300,199.00,11.00,16.00,70.00,BKN,,,,28.40,,,,,0.00,,,,,49.00,36.00,1026.20,,1023.00,,,,,,,0.00
99999,29980,201705011400,201.00,10.00,14.00,722.00,SCT,,,,30.10,,,,,0.00,,,,,50.00,36.00,1026.00,,1022.90,,,,,,,0.00
99999,29980,201705011500,210.00,13.00,,722.00,SCT,,,,31.20,,,,,0.00,,,,,52.00,35.00,1025.70,,1022.60,,,,,,,
99999,29980,201705011600,228.00,6.00,11.00,722.00,SCT,,,,31.20,,,,,0.00,,,,,50.00,35.00,1025.70,,1022.50,,,,,,,0.00
99999,29980,201705011700,222.00,7.00,,722.00,SCT,,,,29.20,,,,,0.00,,,,,52.00,36.00,1025.60,,1022.50,,,,,,,0.00
99999,29980,201705011800,220.00,3.00,,722.00,CLR,,,,22.90,,,,,0.00,,,,0.00,48.00,37.00,1025.90,,1022.70,54.00,43.00,0.00,,,,0.00
99999,29980,201705011900,310.00,7.00,12.00,722.00,CLR,,,,31.20,,,,,0.00,,,,,48.00,27.00,1026.20,,1023.00,,,,,,,0.00
99999,29980,201705012000,312.00,6.00,,722.00,CLR,,,,31.20,,,,,0.00,,,,,46.00,26.00,1026.40,,1023.30,,,,,,,0.00
