WBAN,USAF,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW.1,MW.2,MW.3,AW,AW.1,AW.2,AW.3,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
99999,28450,201705010000,174.00,10.00,14.00,,,,,,2.20,,,,,67.00,,,,8.00,31.00,31.00,1009.20,,984.10,,,,,,,35.00
99999,28450,201705010020,180.00,10.00,,4.00,,,,,2.90,,,,,10.00,,,,,30.00,30.00,,29.74,,,,,,,,
99999,28450,201705010050,190.00,10.00,,4.00,,,,,2.10,,,,,10.00,,,,,30.00,30.00,,29.74,,,,,,,,
99999,28450,201705010100,188.00,12.00,16.00,,,,,,3.20,,,,,77.00,,,,,31.00,30.00,1009.10,,984.00,,,,,,,35.00
99999,28450,201705010120,200.00,13.00,,2.00,OBS,,,,1.80,,,,,72.00,,,,,30.00,30.00,,29.74,,,,,,,,
99999,28450,201705010150,200.00,14.00,,2.00,OBS,,,,2.10,,,,,10.00,,,,,30.00,30.00,,29.74,,,,,,,,
99999,28450,201705010200,200.00,15.00,20.00,,,,,,1.70,,,,,61.00,,,,,31.00,31.00,1009.20,,984.10,,,,,,,35.00
99999,28450,201705010220,210.00,14.00,,1.00,OBS,,,,0.30,,,,,35.00,,,,,30.00,30.00,,29.77,,,,,,,,
99999,28450,201705010250,210.00,14.00,,1.00,OBS,,,,0.20,,,,,35.00,,,,,30.00,30.00,,29.77,,,,,,,,
99999,28450,201705010300,203.00,13.00,18.00,,,,,,0.50,,,,,85.00,,,,8.00,31.00,31.00,1009.60,,984.50,,,,,,,35.00
99999,28450,201705010320,210.00,15.00,,1.00,OBS,,,,1.30,,,,,10.00,,,,,30.00,30.00,,29.77,,,,,,,,
99999,28450,201705010350,210.00,14.00,,2.00,OBS,,,,1.80,,,,,10.00,,,,,30.00,30.00,,29.77,,,,,,,,
99999,28450,201705010400,199.00,14.00,19.00,,,,,,3.20,,,,,71.00,,,,,31.00,31.00,1009.90,,984.80,,,,,,,35.00
99999,28450,201705010420,210.00,14.00,,2.00,OBS,,,,2.30,,,,,10.00,,,,,30.00,30.00,,29.77,,,,,,,,
